Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
1919624050,"Oct 21, 2018, 6:53:46 PM",Home Loop,Run,Beautiful fall run home in Monroe. Good times and perfect weather!!,4482,11.86,,,false,,activities/1919624050.gpx,86.18250274658203,,4482.0,4445.0,11860.2001953125,5.199999809265137,,179.39013671875,,92.5,155.1999969482422,19.200000762939453,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921831522,"Oct 23, 2018, 1:05:03 AM",Samamish loop,Run,"",3235,9.57,,,false,,activities/1921831522.gpx,86.18250274658203,,3235.0,3216.0,9577.5,5.199999809265137,,27.970308303833008,,7.099999904632568,15.100000381469727,8.5,-0.005220569204539061,,,,,,,,,103.86113739013672,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938346,"Oct 21, 2018, 6:54:09 PM",Monroe,Run,,4594,11.73,169.0,79,false,,activities/2057151635.fit.gz,86.18250274658203,,4594.0,4415.0,11735.0,4.599999904632568,,165.4258575439453,,92.5,155.1999969482422,20.0,0.011930123902857304,,,80.0,74.48063659667969,169.0,145.974853515625,,,858.0,,8.0,79.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938404,"Oct 20, 2018, 3:01:03 PM","Kirkland / Bellevue, South Kirkland Park & Ride",Run,,5497,13.05,163.0,84,false,,activities/2057151672.fit.gz,86.18250274658203,,5497.0,5495.0,13053.2998046875,4.0,,96.20980072021484,,6.300000190734863,51.70000076293945,46.79999923706055,0.017620066180825233,,,78.0,76.23094940185547,163.0,143.9649200439453,,,894.0,,7.0,84.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938416,"Oct 19, 2018, 12:46:01 AM","Kirkland, Marina Park / Kirkland, South Kirkland Park & Ride",Run,,4407,10.85,162.0,64,false,,activities/2057151736.fit.gz,86.18250274658203,,4407.0,4385.0,10858.900390625,3.5,,113.80253601074219,,7.0,85.0,36.599998474121094,0.016576264053583145,,,79.0,74.17427062988281,162.0,143.52645874023438,,,760.0,,18.0,64.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938439,"Oct 18, 2018, 1:43:27 AM",Monroe,Run,,4048,9.26,160.0,55,false,,activities/2057151773.fit.gz,86.18250274658203,,4048.0,4048.0,9266.599609375,3.0,,149.24485778808594,,92.5,148.89999389648438,17.899999618530273,0.0032374332658946514,,,79.0,77.32097625732422,160.0,142.83419799804688,,,675.0,,15.0,55.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938450,"Oct 17, 2018, 3:15:51 AM",Monroe,Run,,3985,8.58,151.0,31,false,,activities/2057151805.fit.gz,86.18250274658203,,3985.0,3985.0,8581.2998046875,2.9000000953674316,,119.30726623535156,,92.5,147.0,17.799999237060547,0.008157271891832352,,,78.0,74.62976837158203,151.0,136.52334594726562,,,614.0,,,31.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938479,"Oct 13, 2018, 1:06:58 AM","Seattle, Woodland Park / Seattle, Green Lake Park",Run,,2684,7.46,161.0,48,false,,activities/2057151833.fit.gz,86.18250274658203,,2684.0,2684.0,7461.89990234375,3.9000000953674316,,13.657416343688965,,49.70000076293945,59.5,3.4000000953674316,0.02010211907327175,,,78.0,73.4334716796875,161.0,145.5337371826172,,,491.0,,13.0,48.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938500,"Oct 13, 2018, 9:17:09 PM","Seattle / Seattle, Green Lake Park",Run,,3788,9.71,165.0,52,false,,activities/2057151812.fit.gz,86.18250274658203,,3788.0,3788.0,9713.0,3.700000047683716,,14.508337020874023,,49.70000076293945,55.0,5.900000095367432,-0.0350046344101429,,,80.0,76.01029205322266,165.0,142.5124053955078,,,641.0,,15.0,52.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938512,"Oct 11, 2018, 1:06:24 AM","Kirkland / Kirkland, Carillon Point’s Marina",Run,,2244,5.39,164.0,17,false,,activities/2057151866.fit.gz,86.18250274658203,,2244.0,2129.0,5398.10009765625,3.0999999046325684,,10.278635025024414,,8.600000381469727,15.600000381469727,12.0,0.0,,,79.0,70.56558227539062,164.0,137.385986328125,,,363.0,,16.0,17.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
