Activity Date,Elapsed Time,Distance,Max Heart Rate,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Max Cadence,Average Cadence,Average Heart Rate,Average Watts,Calories,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
"Oct 21, 2018, 6:53:46 PM",4482,11.86,,4482,4445,5.199999809,,179.3901367,,92.5,155.1999969,19.20000076,0,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 23, 2018, 1:05:03 AM",3235,9.57,,3235,3216,5.199999809,,27.9703083,,7.099999905,15.10000038,8.5,-0.005220569,,,,,,103.8611374,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 21, 2018, 6:54:09 PM",4594,11.73,169,4594,4415,4.599999905,,165.4258575,,92.5,155.1999969,20,0.011930124,,80,74.4806366,145.9748535,,858,8,79,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 20, 2018, 3:01:03 PM",5497,13.05,163,5497,5495,4,,96.20980072,,6.300000191,51.70000076,46.79999924,0.017620066,,78,76.2309494,143.96492,,894,7,84,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 19, 2018, 12:46:01 AM",4407,10.85,162,4407,4385,3.5,,113.802536,,7,85,36.59999847,0.016576264,,79,74.17427063,143.5264587,,760,18,64,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 18, 2018, 1:43:27 AM",4048,9.26,160,4048,4048,3,,149.2448578,,92.5,148.8999939,17.89999962,0.003237433,,79,77.32097626,142.834198,,675,15,55,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 17, 2018, 3:15:51 AM",3985,8.58,151,3985,3985,2.900000095,,119.3072662,,92.5,147,17.79999924,0.008157272,,78,74.62976837,136.5233459,,614,,31,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 13, 2018, 1:06:58 AM",2684,7.46,161,2684,2684,3.900000095,,13.65741634,,49.70000076,59.5,3.400000095,0.020102119,,78,73.43347168,145.5337372,,491,13,48,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 13, 2018, 9:17:09 PM",3788,9.71,165,3788,3788,3.700000048,,14.50833702,,49.70000076,55,5.900000095,-0.035004634,,80,76.01029205,142.5124054,,641,15,52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 11, 2018, 1:06:24 AM",2244,5.39,164,2244,2129,3.099999905,,10.27863503,,8.600000381,15.60000038,12,0,,79,70.56558228,137.3859863,,363,16,17,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
